Animal Type,Sub-Type,Breed,Age,Age Group,Gender,Disease,Disease_Code,Critical,Severity,Duration (days),Expected_Recovery_Time (days),Symptoms,Is_Vaccinated,Reported_By,Cause of Disease,Precautions,Care,Home Remedies,Treatment/Medicine,Critical_Symptom_1,Critical_Symptom_2,Critical_Symptom_3,Critical_Symptom_4,Critical_Symptom_5,Critical_Symptom_6
Cattle,Cow,Mewati,5.9,Adult,Female,Bloat,8,False,1,10.0,7,"['Decreased appetite', 'Restlessness', 'Left‑side abdominal swelling', 'Difficulty breathing', 'Staggering', 'Sudden collapse and Death']",False,Para-vet,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,,,,,,
Goat,Common,Jamunapari,7.7,Adult,Male,Heartwater,37,True,2,7.0,11,"['High fever', 'Seizures', 'Recumbency', 'Neurological signs', 'Respiratory distress']",False,Farmer,Ehrlichia ruminantium (tick-borne),Implement tick control measures and avoid high-risk pastures.,Provide supportive fluids and maintain a stress-free environment.,Use herbal washes for tick control.,Administer tetracycline antibiotics promptly.,Seizures,Recumbency,Respiratory distress,,,
Goat,Common,Osmanabadi,0.5,Kid,Female,Hemorrhagic Septicemia,39,False,1,14.0,14,"['High fever', 'Respiratory distress', 'Recumbency', 'Swelling of throat/jaw']",True,Veterinarian,Pasteurella multocida,Vaccinate regularly before monsoon and avoid overcrowding.,Provide fluids and ensure proper nursing care.,Keep animals in a warm and dry shelter.,"Administer appropriate antibiotics, NSAIDs, and vaccinate against HS.",,,,,,
Goat,Common,Osmanabadi,6.7,Adult,Male,Acidosis,9,True,2,1.0,13,"['Recumbency', 'Dehydration', 'Inability to stand', 'Signs of shock', 'Cold extremities', 'Depression', 'Blindness', 'Diarrhea']",True,Farmer,Excess grain feeding leading to rumen pH drop,Avoid excessive grain feeding and introduce dietary changes gradually.,Provide easily digestible feed and maintain hydration throughout recovery.,Provide baking soda solution orally to balance rumen pH.,"Administer IV fluids, oral sodium bicarbonate, and thiamine injections.",Inability to stand,Cold extremities,Diarrhea,Signs of shock,,
Cattle,Cow,Sahiwal,3.4,Adult,Female,Rabies,3,False,1,2.0,9,"['Seizures', 'Inability to stand', 'Salivation', 'Coma', 'Paralysis', 'Behavioral change']",False,Veterinarian,Rabies virus,Vaccinate all animals regularly and avoid contact with stray or wild animals.,Immediately isolate any animal showing neurological symptoms and consult a veterinarian for herd-level precautions.,No home remedies; rabies is fatal.,There is no treatment for rabies; euthanasia of the affected animal is recommended and herd vaccination must be conducted.,,,,,,
Goat,Common,Marwari,0.9,Young,Female,Leptospirosis,22,False,1,6.0,5,"['Reduced milk', 'Fever', 'Jaundice', 'Abortions', 'Hemoglobinuria (Red Water)', 'DepressionInability to stand']",True,Farmer,Leptospira spp.,Control rodents and maintain clean water sources.,Ensure rest and provide energy-rich feed to support recovery.,Provide clean drinking water and ensure rodent control.,Administer streptomycin or tetracycline and vaccinate for herd protection.,,,,,,
Goat,Common,Jakhrana,6.1,Adult,Female,Milk Fever,29,True,2,1.0,11,"['Weakness', 'Complete Collapse', 'Recumbency', 'Muscle tremors', 'Inability to Stand', 'Loss of Consciousness']",True,Veterinarian,Calcium deficiency (Hypocalcemia),Monitor high-yielding animals during calving and provide calcium-rich diets.,Provide soft bedding and help the animal stand to prevent muscle injury.,Provide oral calcium supplements during early lactation.,Administer IV calcium borogluconate under veterinary guidance.,Inability to Stand,Complete Collapse,Loss of Consciousness,,,
Cattle,Cow,Ongole,0.6,Calf,Female,IBR,0,False,1,9.0,13,"['Conjunctivitis', 'AbortionNasal discharge', 'Fever', 'Abortions', 'Oral ulcers', 'Red nose']",False,Veterinarian,BHV‑1,Avoid contact with infected animals and ensure regular vaccination against IBR.,"Keep the animal in a clean, stress-free environment with proper nutrition and hydration.",Steam inhalation to ease nasal congestion.,"Treat the animal with IBR vaccination, broad-spectrum antibiotics to prevent secondary infections, and non-steroidal anti-inflammatory drugs (NSAIDs) to control fever and pain.",,,,,,
Goat,Common,Barbari,3.4,Adult,Female,Urinary Calculi,40,False,1,10.0,15,"['Depression', 'Straining to urinate', 'Distended abdomen', 'Abdominal pain']",False,Para-vet,Mineral imbalance (phosphorus/calcium) in diet,Balance dietary calcium and phosphorus to prevent stone formation.,Monitor urination and ensure constant access to clean water.,Add ammonium chloride to the feed to prevent recurrence.,Perform surgical removal or urinary catheterization and provide IV fluids.,,,,,,
Cattle,Bullock,Hallikar,0.7,Calf,Male,Tetanus,33,True,2,2.0,14,"['Inability to Eat or Drink', 'Convulsions', 'Muscle spasms', 'Inability to Stand', 'Difficulty Breathing', 'Stiffness']",True,Para-vet,Clostridium tetani infection,Vaccinate animals and promptly clean all wounds.,"Keep the animal in a quiet, stress-free area.",Apply antiseptic dressing to wounds.,"Administer tetanus antitoxin, provide wound care, and use antibiotics.",Inability to Stand,Convulsions,Inability to Eat or Drink,Difficulty Breathing,,
Goat,Common,Nubian,5.9,Adult,Female,Urinary Calculi,40,True,2,1.0,7,"['Depression', 'Straining to urinate', 'Distended abdomen', 'Abdominal pain']",True,Veterinarian,Mineral imbalance (phosphorus/calcium) in diet,Balance dietary calcium and phosphorus to prevent stone formation.,Monitor urination and ensure constant access to clean water.,Add ammonium chloride to the feed to prevent recurrence.,Perform surgical removal or urinary catheterization and provide IV fluids.,Straining to urinate,Distended abdomen,Depression,,,
Goat,Common,Barbari,6.0,Adult,Female,Indigestion,7,False,1,13.0,14,"['Decreased milk production', 'Loss of appetite', 'Kicking at belly', 'Depression', 'Abdominal pain', 'Rumen stasis']",True,Farmer,"Low-quality feed, sudden diet change, moldy feed, toxic plants","Avoid sudden changes in diet and ensure only clean, fresh feed is offered.",Provide easily digestible feed and access to clean water during recovery.,Provide ginger or garlic water and allow neem stick chewing.,"Provide oral sodium bicarbonate drench, probiotics, and fluid therapy.",,,,,,
Cattle,Bull,Mewati,5.4,Adult,Male,Leptospirosis,22,False,1,9.0,9,"['Reduced milk', 'Jaundice', 'Fever', 'Abortions', 'Hemoglobinuria (Red Water)', 'DepressionInability to stand']",True,Para-vet,Leptospira spp.,Control rodents and maintain clean water sources.,Ensure rest and provide energy-rich feed to support recovery.,Provide clean drinking water and ensure rodent control.,Administer streptomycin or tetracycline and vaccinate for herd protection.,,,,,,
Goat,Common,Rajasthani cross,6.2,Adult,Male,Leptospirosis,22,False,1,4.0,10,"['Reduced milk', 'Fever', 'Abortions', 'Jaundice', 'Hemoglobinuria (Red Water)', 'DepressionInability to stand']",True,Farmer,Leptospira spp.,Control rodents and maintain clean water sources.,Ensure rest and provide energy-rich feed to support recovery.,Provide clean drinking water and ensure rodent control.,Administer streptomycin or tetracycline and vaccinate for herd protection.,,,,,,
Goat,Common,Jakhrana,4.9,Adult,Male,Metritis,18,False,1,6.0,10,"['Lethargy', 'Fever', 'Anorexia', 'Depression', 'Foul vaginal discharge', 'Unable to stand']",False,Farmer,Uterine infection post-calving/kidding,Maintain hygiene during parturition and avoid unhygienic birthing practices.,Provide energy-rich feed and hydration during recovery.,Wash the vulva with warm saline solution.,Administer uterine antibiotics and oxytocin injections to aid uterine clearance.,,,,,,
Goat,Common,Jamunapari,1.7,Young,Female,Anthrax,36,False,1,14.0,9,"['Sudden death', 'Fever', 'Weakness and staggering', 'Bleeding from orifices', 'Rapid bloating']",False,Para-vet,Bacillus anthracis,Regularly vaccinate livestock in endemic regions and report cases immediately.,Isolate affected areas and implement strict biosecurity.,Avoid handling carcasses and contaminated material.,No treatment; vaccinate and dispose of carcasses safely.,,,,,,
Cattle,Calf,Sahiwal Calf,4.6,Adult,Female,FMD,15,True,2,1.0,10,"['Sudden death in young animals', 'Reduced milk', 'Weight loss', 'Lameness', 'Anorexia', 'Oral lesions', 'Drooling', 'Myocarditis']",False,Veterinarian,FMD virus,Vaccinate regularly and avoid contact with infected animals.,Provide soft feed and ensure clean drinking water.,Apply turmeric paste on lesions and provide aloe vera for hydration.,"Administer NSAIDs for pain relief, provide fluids, and use antiseptic mouthwashes; vaccinate the herd.",Anorexia,Lameness,Oral lesions,Myocarditis,Sudden death in young animals,
Cattle,Bull,Dangi,7.6,Adult,Male,Brucellosis,19,False,1,4.0,11,"['Abortions', 'Reduced milk production', 'Infertility', 'Swollen joints in males', 'Retained placenta', 'Swelling of testicles (Orchitis)']",True,Para-vet,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,,,,,,
Cattle,Bull,Kangayam,7.6,Adult,Male,Rabies,3,False,1,4.0,12,"['Seizures', 'Difficulty swallowing', 'Inability to stand', 'Salivation', 'Behavioral change', 'Paralysis']",True,Veterinarian,Rabies virus,Vaccinate all animals regularly and avoid contact with stray or wild animals.,Immediately isolate any animal showing neurological symptoms and consult a veterinarian for herd-level precautions.,No home remedies; rabies is fatal.,There is no treatment for rabies; euthanasia of the affected animal is recommended and herd vaccination must be conducted.,,,,,,
Goat,Common,Rajasthani cross,3.4,Adult,Female,Salmonellosis,38,True,2,2.0,14,"['Weight loss', 'Reduced milk', 'Neurological signs', 'Inability to stand', 'Fever', 'Diarrhea']",False,Para-vet,Salmonella spp.,Maintain strict hygiene in feed and water sources to prevent outbreaks.,Provide energy-rich feed and manage dehydration.,Provide oral rehydration solutions and maintain hygienic feeding practices.,"Administer broad-spectrum antibiotics, fluids, and electrolyte therapy.",Diarrhea,Inability to stand,Neurological signs,,,
Goat,Common,Osmanabadi,3.6,Adult,Male,Bloat,8,True,2,0.125,12,"['Decreased appetite', 'Weakness', 'Restlessness', 'Left‑side abdominal swelling', 'Difficulty breathing', 'Staggering', 'Sudden collapse and Death']",False,Farmer,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,Left‑side abdominal swelling,Difficulty breathing,Staggering,Weakness,Sudden collapse and Death,
Goat,Common,Rajasthani cross,6.9,Adult,Female,Copper Deficiency,30,True,3,8.0,29,"['Neurological Signs', 'Poor coat quality', 'Anemia', 'Reproductive issues']",False,Veterinarian,Insufficient dietary copper or excess molybdenum,Balance mineral supplementation and avoid overuse of molybdenum-containing feeds.,Monitor hair coat quality and reproductive health post-treatment.,Offer mineral blocks containing copper.,Provide copper sulfate supplements as per veterinary dosage.,Neurological Signs,,,,,
Goat,Common,Sirohi,5.1,Adult,Female,Enterotoxemia,13,False,1,13.0,10,"['Incoordination', 'Convulsions', 'Diarrhea', 'Opisthotonos', 'Prostration', 'Abdominal pain']",False,Para-vet,Clostridium perfringens toxin,Ensure regular vaccination against clostridial diseases.,Provide supportive therapy and maintain a calm environment.,Implement controlled feeding practices.,"Administer clostridial antitoxin, broad-spectrum antibiotics, and IV fluids.",,,,,,
Goat,Common,Rajasthani cross,7.7,Adult,Female,CCPP,14,True,2,7.0,9,"['Severe cough', 'Fever', 'Anorexia', 'Labored breathing', 'Prostration']",True,Farmer,Mycoplasma capricolum subsp. capripneumoniae,Implement strict biosecurity and avoid mixing with unknown herds.,Provide warm shelter and soft food during treatment.,Use steam inhalation with medicinal herbs.,"Administer macrolide antibiotics like Tylosin, provide NSAIDs, and isolate the infected animal.",Labored breathing,Prostration,Fever,Anorexia,,
Goat,Common,Rajasthani cross,6.3,Adult,Male,Heartwater,37,True,2,7.0,11,"['High fever', 'Seizures', 'Recumbency', 'Neurological signs', 'Respiratory distress']",False,Veterinarian,Ehrlichia ruminantium (tick-borne),Implement tick control measures and avoid high-risk pastures.,Provide supportive fluids and maintain a stress-free environment.,Use herbal washes for tick control.,Administer tetracycline antibiotics promptly.,Seizures,Recumbency,Respiratory distress,,,
Goat,Common,Nubian,2.4,Adult,Female,Toxoplasmosis,20,False,1,1.0,8,"['Weak kids', 'Abortions', 'Fetal mummification', 'Stillbirths']",True,Veterinarian,Toxoplasma gondii,Keep cats away from feed storage areas and use clean bedding.,Provide supportive nutrition and proper care to pregnant animals.,Maintain feed hygiene and control cat access to feed areas.,Administer sulfonamides or tetracyclines along with supportive care.,,,,,,
Cattle,Buffalo,Murrah,1.5,Young,Female,Anorexia,10,True,3,21.0,15,"['Weight loss', 'Reduced feed intake', 'Neurological signs', 'High feverSevere diarrhea', 'Refusal to eat', 'Severe bloating', 'Intense pain']",False,Veterinarian,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,Refusal to eat,High feverSevere diarrhea,Severe bloating,Neurological signs,Intense pain,Weight loss
Goat,Common,Jakhrana,3.4,Adult,Male,Indigestion,7,False,1,10.0,15,"['Bloating', 'Loss of appetite', 'Kicking at belly', 'Depression', 'Diarrhea', 'Abdominal pain']",False,Veterinarian,"Low-quality feed, sudden diet change, moldy feed, toxic plants","Avoid sudden changes in diet and ensure only clean, fresh feed is offered.",Provide easily digestible feed and access to clean water during recovery.,Provide ginger or garlic water and allow neem stick chewing.,"Provide oral sodium bicarbonate drench, probiotics, and fluid therapy.",,,,,,
Goat,Common,Jakhrana,6.9,Adult,Female,Blue Tongue,16,False,1,5.0,11,"['Blue tongue', 'Inability to stand', 'Facial swelling', 'Fever', 'Anorexia', 'Oral ulcers']",True,Veterinarian,Bluetongue virus transmitted by Culicoides midges,Use insect repellents and avoid grazing during midge activity.,"Provide soft, palatable food and ensure hydration.",Apply aloe vera paste for soothing oral ulcers.,"Provide supportive therapy, fluid administration, and implement insect control measures.",,,,,,
Cattle,Bullock,Hallikar,6.1,Adult,Male,Johne's Disease,34,False,1,13.0,8,"['Chronic diarrhea', 'Bottle Jaw', 'Weight loss', 'Poor milk production']",True,Para-vet,Mycobacterium avium subspecies paratuberculosis,Implement test-and-cull programs and prevent fecal contamination of feed.,Provide high-quality nutrition and stress-free care.,Provide supportive feeding and improve overall hygiene.,No cure is available; cull infected animals and manage herd hygiene.,,,,,,
Cattle,Buffalo,Bhadawari,4.6,Adult,Female,Fascioliasis,24,True,2,3.0,6,"['Weight loss', 'Sudden Death', 'Inability to stand', 'Jaundice', 'Anemia', 'Inability to Stand', 'Extreme Paleness', 'Profound Weakness']",True,Veterinarian,Fasciola hepatica (liver fluke),Control access to snail-infested pastures and treat water sources.,Provide iron-rich feed and proper hydration.,Avoid grazing in marshy or waterlogged areas.,Administer triclabendazole or closantel for deworming.,Sudden Death,Anemia,Extreme Paleness,Inability to Stand,Profound Weakness,Jaundice
Goat,Common,Osmanabadi,4.1,Adult,Female,Anthrax,36,True,2,2.0,9,"['Sudden death', 'Fever', 'Weakness and staggering', 'Bleeding from orifices', 'Rapid bloating']",False,Farmer,Bacillus anthracis,Regularly vaccinate livestock in endemic regions and report cases immediately.,Isolate affected areas and implement strict biosecurity.,Avoid handling carcasses and contaminated material.,No treatment; vaccinate and dispose of carcasses safely.,Sudden death,Bleeding from orifices,Rapid bloating,Fever,Weakness and staggering,
Cattle,Cow,Guernsey,6.9,Adult,Female,Blackleg,5,False,1,2.0,14,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Crepitus', 'Acute lameness']",False,Farmer,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,,,,,,
Goat,Common,Jakhrana,5.3,Adult,Female,Caseous Lymphadenitis,35,False,1,7.0,8,"['Weight loss', 'Poor Performance', 'Abscesses in lymph nodes']",True,Para-vet,Corynebacterium pseudotuberculosis,Maintain strict biosecurity and disinfect equipment.,Provide clean housing and monitor for new abscesses.,Apply turmeric or neem paste on abscesses.,"Drain abscesses, administer antibiotics, and vaccinate the herd.",,,,,,
Goat,Common,Jamunapari,6.8,Adult,Female,Blue Tongue,16,True,2,5.0,11,"['Blue tongue', 'Inability to stand', 'Facial swelling', 'Severe respiratory distress', 'Fever', 'Anorexia']",False,Veterinarian,Bluetongue virus transmitted by Culicoides midges,Use insect repellents and avoid grazing during midge activity.,"Provide soft, palatable food and ensure hydration.",Apply aloe vera paste for soothing oral ulcers.,"Provide supportive therapy, fluid administration, and implement insect control measures.",Severe respiratory distress,Anorexia,Inability to stand,,,
Goat,Common,Nubian,6.8,Adult,Male,Theileriosis,6,True,2,3.0,8,"['Weight loss', 'High fever', 'Lethargy', 'Anaemia', 'Inability to stand', 'Jaundice', 'Anemia', 'Respiratory distress', 'Nervous signs', 'Frothy fluid from nose and mouth']",False,Farmer,Theileria spp.,Implement strict tick control measures in animals.,Provide proper nutrition and stress-free management during recovery.,Use turmeric and iron decoction to boost immunity.,Administer buparvaquone intramuscularly and provide supportive fluid therapy.,Anemia,Lethargy,Inability to stand,Frothy fluid from nose and mouth,Respiratory distress,Nervous signs
Cattle,Bullock,Deoni,2.0,Young,Male,Leptospirosis,22,False,1,13.0,13,"['Reduced milk', 'Jaundice', 'Fever', 'Abortions', 'Hemoglobinuria (Red Water)', 'DepressionInability to stand']",True,Veterinarian,Leptospira spp.,Control rodents and maintain clean water sources.,Ensure rest and provide energy-rich feed to support recovery.,Provide clean drinking water and ensure rodent control.,Administer streptomycin or tetracycline and vaccinate for herd protection.,,,,,,
Goat,Common,Jamunapari,7.3,Adult,Female,Fascioliasis,24,False,1,4.0,15,"['Weight loss', 'Sudden Death', 'Inability to stand', 'Jaundice', 'Extreme Paleness', 'Profound Weakness']",False,Farmer,Fasciola hepatica (liver fluke),Control access to snail-infested pastures and treat water sources.,Provide iron-rich feed and proper hydration.,Avoid grazing in marshy or waterlogged areas.,Administer triclabendazole or closantel for deworming.,,,,,,
Goat,Common,Rajasthani cross,5.3,Adult,Female,Anorexia,10,True,3,21.0,28,"['Weight loss', 'Reduced feed intake', 'Weakness', 'Neurological signs', 'High feverSevere diarrhea', 'Refusal to eat', 'Severe diarrhea', 'Severe bloating', 'Intense pain']",True,Para-vet,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,Refusal to eat,High feverSevere diarrhea,Severe bloating,Neurological signs,Intense pain,Weight loss
Cattle,Buffalo,Swamp Buffaloes,2.9,Young,Female,Babesiosis,26,False,1,14.0,8,"['Incoordination', 'Weakness', 'Jaundice', 'Anemia', 'Staggering', 'Mania']",True,Veterinarian,Babesia species (tick-borne),Implement regular tick control programs and maintain pasture hygiene.,Provide iron supplements and high-energy feed.,Use neem oil spray for tick control.,Administer imidocarb or oxytetracycline under veterinary supervision.,,,,,,
Cattle,Bull,Tharparkar,4.0,Adult,Male,Tuberculosis,4,False,1,2.0,9,"['Weight loss', 'Poor milk yield', 'Intermittent fever', 'Difficulty breathing', 'Chronic cough', 'Enlarged lymph nodes']",False,Veterinarian,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,,,,,,
Goat,Common,Rajasthani cross,3.8,Adult,Female,Johne's Disease,34,False,1,4.0,11,"['Chronic diarrhea', 'Bottle Jaw', 'Weight loss', 'Poor milk production']",False,Farmer,Mycobacterium avium subspecies paratuberculosis,Implement test-and-cull programs and prevent fecal contamination of feed.,Provide high-quality nutrition and stress-free care.,Provide supportive feeding and improve overall hygiene.,No cure is available; cull infected animals and manage herd hygiene.,,,,,,
Cattle,Buffalo,Chilika,2.9,Young,Female,Blackleg,5,False,1,13.0,14,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Acute lameness', 'Crepitus']",True,Veterinarian,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,,,,,,
Cattle,Calf,Vechur Calf,4.3,Adult,Male,Blackleg,5,False,1,3.0,11,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Crepitus', 'Acute lameness']",True,Para-vet,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,,,,,,
Cattle,Calf,Hallikar Calf,6.0,Adult,Male,Tuberculosis,4,False,1,6.0,8,"['Weight loss', 'Poor milk yield', 'Intermittent fever', 'Difficulty breathing', 'Chronic cough', 'Enlarged lymph nodes']",True,Para-vet,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,,,,,,
Cattle,Bullock,Krishna Valley,0.2,Calf,Male,MCF,2,False,1,6.0,15,"['High fever', 'Seizures', 'Nasal discharge', 'Ocular discharge', 'Diarrhea', 'Corneal opacity']",True,Para-vet,MCF virus,"Avoid mixing cattle with sheep, especially during lambing season, as sheep are carriers of the virus.",Provide comfortable housing and proper nutrition to boost immunity during recovery.,No specific home remedy; supportive care is essential.,"Provide supportive care, including fluid therapy and anti-inflammatory drugs, as there is no specific treatment for MCF.",,,,,,
Goat,Common,Malabari,4.8,Adult,Male,Metritis,18,False,1,12.0,13,"['Lethargy', 'Fever', 'Anorexia', 'Depression', 'Foul vaginal discharge', 'Unable to stand']",False,Veterinarian,Uterine infection post-calving/kidding,Maintain hygiene during parturition and avoid unhygienic birthing practices.,Provide energy-rich feed and hydration during recovery.,Wash the vulva with warm saline solution.,Administer uterine antibiotics and oxytocin injections to aid uterine clearance.,,,,,,
Goat,Common,Malabari,6.6,Adult,Male,CCPP,14,True,2,7.0,6,"['Severe cough', 'Fever', 'Anorexia', 'Labored breathing', 'Prostration']",True,Veterinarian,Mycoplasma capricolum subsp. capripneumoniae,Implement strict biosecurity and avoid mixing with unknown herds.,Provide warm shelter and soft food during treatment.,Use steam inhalation with medicinal herbs.,"Administer macrolide antibiotics like Tylosin, provide NSAIDs, and isolate the infected animal.",Labored breathing,Prostration,Fever,Anorexia,,
Goat,Common,Jakhrana,7.1,Adult,Male,Leptospirosis,22,True,2,3.0,5,"['Reduced milk', 'Inability to stand', 'Fever', 'Jaundice', 'Abortions', 'Depression', 'Hemoglobinuria (Red Water)', 'DepressionInability to stand']",False,Farmer,Leptospira spp.,Control rodents and maintain clean water sources.,Ensure rest and provide energy-rich feed to support recovery.,Provide clean drinking water and ensure rodent control.,Administer streptomycin or tetracycline and vaccinate for herd protection.,Hemoglobinuria (Red Water),Jaundice,Inability to stand,Fever,Depression,
Cattle,Bullock,Gaolao,4.4,Adult,Male,Helminthiasis,23,True,2,7.0,12,"['Inability to stand', 'Bottle Jaw', 'Anemia', 'Weakness and Collapse', 'Diarrhea', 'Extreme Paleness']",True,Veterinarian,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,Anemia,Extreme Paleness,Bottle Jaw,Weakness and Collapse,Inability to stand,
Goat,Common,Jakhrana,5.9,Adult,Male,Coccidiosis,25,False,1,4.0,5,"['Inability to stand', 'Bloody diarrhea', 'Poor growth', 'Dehydration']",True,Farmer,Eimeria species,Maintain sanitation in housing and prevent overcrowding.,Ensure fluid therapy and provide soft feed during recovery.,Provide yogurt mixed with molasses for gut health.,Administer coccidiostats like sulfa drugs and fluids for dehydration.,,,,,,
Goat,Common,Rajasthani cross,1.2,Young,Female,FMD,15,False,1,4.0,11,"['Reduced milk', 'Weight loss', 'Fever', 'Anorexia', 'Oral lesions', 'Drooling']",False,Para-vet,FMD virus,Vaccinate regularly and avoid contact with infected animals.,Provide soft feed and ensure clean drinking water.,Apply turmeric paste on lesions and provide aloe vera for hydration.,"Administer NSAIDs for pain relief, provide fluids, and use antiseptic mouthwashes; vaccinate the herd.",,,,,,
Goat,Common,Rajasthani cross,0.7,Kid,Male,Blue Tongue,16,False,1,13.0,9,"['Blue tongue', 'Inability to stand', 'Facial swelling', 'Fever', 'Anorexia', 'Oral ulcers']",True,Veterinarian,Bluetongue virus transmitted by Culicoides midges,Use insect repellents and avoid grazing during midge activity.,"Provide soft, palatable food and ensure hydration.",Apply aloe vera paste for soothing oral ulcers.,"Provide supportive therapy, fluid administration, and implement insect control measures.",,,,,,
Goat,Common,Marwari,4.6,Adult,Female,Bloat,8,True,2,0.125,12,"['Decreased appetite', 'Weakness', 'Restlessness', 'Left‑side abdominal swelling', 'Difficulty breathing', 'Staggering', 'Sudden collapse and Death']",True,Veterinarian,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,Left‑side abdominal swelling,Difficulty breathing,Staggering,Weakness,Sudden collapse and Death,
Cattle,Cow,Kenkatha,6.2,Adult,Female,Hemorrhagic Septicemia,39,False,1,12.0,11,"['High fever', 'Swelling of throat/jaw', 'Respiratory distress', 'Recumbency']",True,Para-vet,Pasteurella multocida,Vaccinate regularly before monsoon and avoid overcrowding.,Provide fluids and ensure proper nursing care.,Keep animals in a warm and dry shelter.,"Administer appropriate antibiotics, NSAIDs, and vaccinate against HS.",,,,,,
Cattle,Bull,Siri,0.3,Calf,Male,Tuberculosis,4,False,1,6.0,9,"['Weight loss', 'Poor milk yield', 'Difficulty breathing', 'Intermittent fever', 'Chronic cough', 'Enlarged lymph nodes']",False,Farmer,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,,,,,,
Cattle,Cow,Brown Swiss,4.6,Adult,Female,BVD,1,False,1,4.0,5,"['Reduced milk', 'Resp distress', 'Fever', 'Abortion', 'Ulcers in mouth', 'Diarrhea']",False,Veterinarian,BVD virus,Implement strict biosecurity measures and regularly vaccinate cattle against BVD.,Ensure isolation of infected animals and maintain proper hygiene in the cattle shed.,Provide electrolyte-enriched water to prevent dehydration.,"Provide supportive fluids to prevent dehydration, administer NSAIDs to reduce fever and inflammation, and follow a proper vaccination program to prevent recurrence.",,,,,,
Cattle,Calf,Kankrej Calf,1.3,Young,Female,Indigestion,7,False,1,9.0,12,"['Decreased milk production', 'Bloating', 'Loss of appetite', 'Kicking at belly', 'Abdominal pain', 'Rumen stasis']",True,Para-vet,"Low-quality feed, sudden diet change, moldy feed, toxic plants","Avoid sudden changes in diet and ensure only clean, fresh feed is offered.",Provide easily digestible feed and access to clean water during recovery.,Provide ginger or garlic water and allow neem stick chewing.,"Provide oral sodium bicarbonate drench, probiotics, and fluid therapy.",,,,,,
